ID_MONITORIA,DATA,AVAYALOGIN,SUPERVISOR,SEGMENTO,ANALISTA,NOTA_FINAL,Saudação e Identificação,Escuta Ativa,Clareza na Comunicação,Resolução no Primeiro Contato,Empatia com o Cliente,Conhecimento do Produto,Seguiu Script,Encerramento Adequado
1,2024-01-05,5510001,Supervisor 6,Segmento 1,Srta. Maria Clara Barbosa,4.6,4,9,3,0,10,0,3,8
2,2024-01-02,5510001,Supervisor 6,Segmento 1,José Miguel Rios,6.2,10,2,9,5,5,3,6,10
3,2024-01-13,5510001,Supervisor 6,Segmento 1,Sofia Barbosa,4.5,3,1,5,7,10,3,7,0
4,2024-01-22,5510001,Supervisor 6,Segmento 1,Rodrigo da Cruz,6.2,3,8,8,5,7,7,2,10
5,2024-01-24,5510001,Supervisor 6,Segmento 1,Isabella Borges,3.4,6,0,3,3,3,6,0,6
6,2024-02-03,5510001,Supervisor 6,Segmento 1,Pedro Henrique Almeida,6.8,3,5,9,9,10,9,9,0
7,2024-02-07,5510001,Supervisor 6,Segmento 1,Cecilia Pinto,4.5,6,7,10,0,2,3,1,7
8,2024-02-22,5510001,Supervisor 6,Segmento 1,Diego da Rocha,3.4,5,0,8,1,0,5,3,5
9,2024-02-20,5510001,Supervisor 6,Segmento 1,José Miguel Melo,4.1,2,1,6,2,2,9,6,5
10,2024-02-12,5510001,Supervisor 6,Segmento 1,Gabriela Oliveira,4.1,2,2,1,1,9,8,6,4
11,2024-03-03,5510001,Supervisor 6,Segmento 1,Pedro Miguel Macedo,3.9,4,7,1,3,3,4,1,8
12,2024-03-23,5510001,Supervisor 6,Segmento 1,Maria Eduarda Nogueira,4.1,1,2,9,1,6,8,6,0
13,2024-03-13,5510001,Supervisor 6,Segmento 1,Sra. Lara da Luz,4.5,6,2,5,3,6,1,3,10
14,2024-03-16,5510001,Supervisor 6,Segmento 1,Benicio Cirino,6.2,8,1,8,4,8,7,8,6
15,2024-03-14,5510001,Supervisor 6,Segmento 1,Dra. Maria Isis Dias,4.0,7,7,7,1,1,0,9,0
16,2024-01-13,5510002,Supervisor 2,Segmento 3,Thales Rezende,5.5,9,3,3,10,2,0,7,10
17,2024-01-17,5510002,Supervisor 2,Segmento 3,Olívia Nascimento,4.9,6,2,5,7,3,1,6,9
18,2024-02-17,5510002,Supervisor 2,Segmento 3,Ísis Lopes,5.8,5,6,2,8,5,9,10,1
19,2024-02-14,5510002,Supervisor 2,Segmento 3,Matheus Fogaça,5.1,6,9,1,5,8,10,2,0
20,2024-03-09,5510002,Supervisor 2,Segmento 3,Eloah Novais,4.0,9,1,0,0,3,6,6,7
21,2024-03-06,5510002,Supervisor 2,Segmento 3,Davi Luiz Barbosa,5.4,5,8,0,10,8,2,7,3
22,2024-01-21,5510003,Supervisor 4,Segmento 2,Luiza Jesus,8.5,7,7,9,9,7,10,10,9
23,2024-01-25,5510003,Supervisor 4,Segmento 2,Sr. João Miguel Pacheco,5.0,3,1,5,8,9,3,6,5
24,2024-01-27,5510003,Supervisor 4,Segmento 2,Arthur Gabriel da Conceição,7.0,7,4,10,8,5,8,6,8
25,2024-02-19,5510003,Supervisor 4,Segmento 2,Helena Andrade,5.9,5,8,7,3,10,2,5,7
26,2024-02-21,5510003,Supervisor 4,Segmento 2,Enzo Caldeira,4.2,4,4,3,3,8,7,2,3
27,2024-02-14,5510003,Supervisor 4,Segmento 2,Gabriel Nascimento,5.1,4,1,4,2,9,3,9,9
28,2024-03-24,5510003,Supervisor 4,Segmento 2,Benicio Lopes,5.4,10,1,1,9,6,8,6,2
29,2024-03-13,5510003,Supervisor 4,Segmento 2,Maria Flor Ferreira,4.5,1,1,3,7,5,9,6,4
30,2024-03-14,5510003,Supervisor 4,Segmento 2,Isabelly Leão,5.9,8,8,7,2,0,6,7,9
31,2024-01-05,5510004,Supervisor 2,Segmento 3,Srta. Emanuelly Macedo,4.8,10,2,3,8,4,2,8,1
32,2024-01-13,5510004,Supervisor 2,Segmento 3,Raquel Borges,7.5,8,2,6,10,9,10,5,10
33,2024-01-15,5510004,Supervisor 2,Segmento 3,Maria Helena Casa Grande,3.1,4,9,0,0,1,0,3,8
34,2024-01-12,5510004,Supervisor 2,Segmento 3,Srta. Clara Vieira,3.6,0,1,2,1,9,2,4,10
35,2024-01-09,5510004,Supervisor 2,Segmento 3,Nicole Novaes,4.2,4,6,3,3,0,2,9,7
36,2024-02-09,5510004,Supervisor 2,Segmento 3,Vicente Machado,7.0,3,9,9,5,9,9,10,2
37,2024-02-09,5510004,Supervisor 2,Segmento 3,Luiz Gustavo Castro,3.6,7,4,0,3,3,9,2,1
38,2024-02-01,5510004,Supervisor 2,Segmento 3,Gustavo Henrique Silveira,5.1,3,2,8,3,9,10,0,6
39,2024-02-04,5510004,Supervisor 2,Segmento 3,Mariane Carvalho,3.6,8,4,0,0,5,1,5,6
40,2024-02-06,5510004,Supervisor 2,Segmento 3,Maria Vitória Araújo,3.4,3,9,3,5,1,3,0,3
41,2024-03-01,5510004,Supervisor 2,Segmento 3,Benjamim da Cruz,4.6,9,9,4,9,2,0,1,3
42,2024-03-16,5510004,Supervisor 2,Segmento 3,Ágatha Ribeiro,4.0,3,10,0,3,4,2,2,8
43,2024-03-24,5510004,Supervisor 2,Segmento 3,João Miguel Nogueira,6.0,9,9,5,1,8,10,2,4
44,2024-03-14,5510004,Supervisor 2,Segmento 3,Clara Brito,4.2,3,2,5,6,5,0,9,4
45,2024-03-19,5510004,Supervisor 2,Segmento 3,Oliver Rocha,6.0,8,4,6,10,4,5,5,6
46,2024-01-01,5510006,Supervisor 4,Segmento 1,Milena Garcia,4.4,9,0,3,3,6,5,4,5
47,2024-01-19,5510006,Supervisor 4,Segmento 1,Sra. Lunna Sá,4.6,3,1,10,5,7,4,3,4
